gene set 	NMI	AUC	AUC.pval	t.stat	t.pval
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.107	0.6263	0.109	0.7359	0.2272
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.08498	0.6367	0.09079	1.232	0.4886
HALLMARK_UV_RESPONSE_UP	0.07073	0.6574	0.06109	0.978	0.07019
HALLMARK_ANGIOGENESIS	0.04811	0.6194	0.1225	1.631	0.1142
HALLMARK_MYC_TARGETS_V1	0.03983	0.5606	0.2814	0.1299	0.2135
HALLMARK_P53_PATHWAY	0.03791	0.5433	0.3416	0.6792	0.4231
HALLMARK_PANCREAS_BETA_CELLS	0.03493	0.5571	0.2931	0.9148	0.02014
HALLMARK_IL2_STAT5_SIGNALING	0.03113	0.5329	0.3798	0.262	0.07175
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.02385	0.5329	0.3798	0.2393	0.007847
HALLMARK_DNA_REPAIR	0.0143	0.5156	0.4459	0.09077	0.2698
HALLMARK_MITOTIC_SPINDLE	0.0117	-0.5052	0.4729	0.1448	0.4842
HALLMARK_TGF_BETA_SIGNALING	0.01162	0.564	0.27	0.8115	0.418
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.006616	0.5121	0.4594	0.2731	0.4672
HALLMARK_APOPTOSIS	0.005289	0.526	0.406	0.348	0.2144
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.003052	-0.5052	0.4729	-0.02544	0.1109
HALLMARK_G2M_CHECKPOINT	-0.007017	0.5156	0.4459	-0.009917	0.1014
HALLMARK_ALLOGRAFT_REJECTION	-0.007594	-0.5017	0.4864	-0.2111	0.4976
HALLMARK_BILE_ACID_METABOLISM	-0.007839	-0.564	0.2589	-0.7222	0.4573
HALLMARK_HYPOXIA	-0.009314	-0.5675	0.2479	-0.7009	0.3801
HALLMARK_COAGULATION	-0.01163	-0.5294	0.3798	-0.4878	0.08732
HALLMARK_MYC_TARGETS_V2	-0.01202	0.5156	0.4459	-0.0658	0.1262
HALLMARK_ADIPOGENESIS	-0.01327	-0.5606	0.27	-0.557	0.1922
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.01327	-0.5329	0.3669	-0.3576	0.2338
HALLMARK_MTORC1_SIGNALING	-0.01343	-0.564	0.2589	-0.6821	0.277
HALLMARK_HEME_METABOLISM	-0.01406	-0.5536	0.2931	-0.439	0.4874
HALLMARK_INFLAMMATORY_RESPONSE	-0.01833	-0.5882	0.1876	-0.7779	0.4995
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.01869	-0.5744	0.2268	-0.6154	0.3963
HALLMARK_PROTEIN_SECRETION	-0.01981	-0.5606	0.27	-0.6783	0.1025
HALLMARK_E2F_TARGETS	-0.02013	-0.5779	0.2166	-0.8599	0.05202
HALLMARK_SPERMATOGENESIS	-0.02088	-0.5917	0.1785	-0.9574	0.03958
HALLMARK_FATTY_ACID_METABOLISM	-0.02181	-0.5502	0.3049	-0.4591	0.4425
HALLMARK_ANDROGEN_RESPONSE	-0.02316	0.5017	0.5	-0.1407	0.4963
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.02352	-0.609	0.1371	-0.8901	0.3504
HALLMARK_COMPLEMENT	-0.02736	-0.5467	0.317	-0.3	0.2746
HALLMARK_UV_RESPONSE_DN	-0.03057	-0.5502	0.3049	-0.1874	0.2958
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.03153	0.5536	0.3049	-0.3552	0.1876
HALLMARK_PEROXISOME	-0.03817	-0.5398	0.3416	-0.846	0.497
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.03985	-0.5502	0.3049	-0.08898	0.3365
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.03995	-0.6125	0.1297	-1.267	0.1475
HALLMARK_KRAS_SIGNALING_UP	-0.04069	-0.6367	0.08523	-1.057	0.113
HALLMARK_XENOBIOTIC_METABOLISM	-0.04092	-0.6263	0.1027	-0.6882	0.3364
HALLMARK_KRAS_SIGNALING_DN	-0.04583	-0.5917	0.1785	-0.8782	0.3709
HALLMARK_MYOGENESIS	-0.04886	-0.6644	0.04934	-1.694	0.2046
HALLMARK_APICAL_SURFACE	-0.04905	-0.5536	0.2931	-0.1602	0.4755
HALLMARK_NOTCH_SIGNALING	-0.05643	-0.6055	0.1449	-0.7084	0.4041
HALLMARK_GLYCOLYSIS	-0.05707	-0.6367	0.08523	-1.064	0.1659
HALLMARK_APICAL_JUNCTION	-0.06797	-0.6471	0.07003	-1.771	0.3456
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.06822	0.5571	0.2931	-0.0501	0.2985
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.07766	-0.5606	0.27	-0.6623	0.3871
HALLMARK_HEDGEHOG_SIGNALING	-0.08423	-0.6298	0.09661	-1.338	0.3682
